longname;loggdp
Angola;7.77
Argentina;9.1300001
Australia;9.8999996
Burkina Faso;6.8499999
Bahamas;9.29
Bolivia;7.9299998
Brazil;8.7299995
Canada;9.9899998
Chile;9.3400002
Cote d'Ivoire;7.4400001
Cameroon;7.5
Congo;7.4200001
Colombia;8.8100004
Costa Rica;8.79
Dominican Re;8.3599997
Algeria;8.3900003
Ecuador;8.4700003
Egypt;7.9499998
Ethiopia;6.1100001
Gabon;8.8999996
Ghana;7.3699999
Guinea;7.4899998
Gambia;7.27
Guatemala;8.29
Guyana;7.9000001
Honduras;7.6900001
Haiti;7.1500001
Jamaica;8.1899996
Kenya;7.0599999
Morocco;8.04
Madagascar;6.8400002
Mexico;8.9399996
Mali;6.5700002
Malta;9.4300003
Niger;6.73
Nigeria;6.8099999
Nicaragua;7.54
New Zealand;9.7600002
Panama;8.8400002
Peru;8.3999996
Paraguay;8.21
Sudan;7.3099999
Senegal;7.4000001
Sierra Leone;6.25
El Salvador;7.9499998
Togo;7.2199998
Trinidad and Tobago;8.7700005
Tunisia;8.4799995
Tanzania;6.25
Uganda;6.9699998
Uruguary;9.0299997
USA;10.22
Venezuela;9.0699997
South Africa;8.8900003
Zaire;6.8699999
